EE320,1,1,Closed book exam for 100 marks
PHYS212,2,1,Closed book exam for 100 marks
CMPEN411,2,1,Closed book exam for 100 marks
CMPSC360,1,1,Closed book exam for 100 marks
CMPEN351,2,1,Closed book exam for 100 marks
PHYS211,1,1,Closed book exam for 100 marks
CMPSC465,2,1,Closed book exam for 100 marks
PHYS214,2,1,Closed book exam for 100 marks
CSE583,2,1,Closed book exam for 100 marks
CMPEN441,2,1,Closed book exam for 100 marks
CMPEN431,1,1,Closed book exam for 100 marks
EE352,1,1,Closed book exam for 100 marks
CHEM111,1,1,Closed book exam for 100 marks
STAT318,1,1,Closed book exam for 100 marks
CSE543,2,1,Closed book exam for 100 marks
CMPSC461,1,1,Closed book exam for 100 marks
IST110,2,1,Closed book exam for 100 marks
MATH140,2,1,Closed book exam for 100 marks
DS220,1,1,Closed book exam for 100 marks
CHEM110,1,1,Closed book exam for 100 marks
IST128,1,1,Closed book exam for 100 marks
EE311,1,1,Closed book exam for 100 marks
PHYS213,2,1,Closed book exam for 100 marks
CMPEN431,2,1,Closed book exam for 100 marks
CMPEN362,2,1,Closed book exam for 100 marks
CHEM112,1,1,Closed book exam for 100 marks
STAT319,1,1,Closed book exam for 100 marks
PHYS211,2,1,Closed book exam for 100 marks
IST128,2,1,Closed book exam for 100 marks
CMPEN331,2,1,Closed book exam for 100 marks
EE211,1,1,Closed book exam for 100 marks
CMPSC475,1,1,Closed book exam for 100 marks
ECON101,1,1,Closed book exam for 100 marks
STAT415,2,1,Closed book exam for 100 marks
CMPSC431W,1,1,Closed book exam for 100 marks
CMPSC475,2,1,Closed book exam for 100 marks
DS120,2,1,Closed book exam for 100 marks
PHYS214,1,1,Closed book exam for 100 marks
EE352,2,1,Closed book exam for 100 marks
ECON102,2,1,Closed book exam for 100 marks
CMPEN270,1,1,Closed book exam for 100 marks
CMPEN351,1,1,Closed book exam for 100 marks
CMPSC131,1,1,Closed book exam for 100 marks
CMPEN441,1,1,Closed book exam for 100 marks
CSE543,1,1,Closed book exam for 100 marks
ECON201,2,1,Closed book exam for 100 marks
CMPSC448,1,1,Closed book exam for 100 marks
CMPSC132,1,1,Closed book exam for 100 marks
EE311,2,1,Closed book exam for 100 marks
MATH231,2,1,Closed book exam for 100 marks
EE320,2,1,Closed book exam for 100 marks
STAT318,2,1,Closed book exam for 100 marks
CSE583,1,1,Closed book exam for 100 marks
CHEM110,2,1,Closed book exam for 100 marks
EE212,2,1,Closed book exam for 100 marks
CMPSC221,2,1,Closed book exam for 100 marks
CMPEN270,2,1,Closed book exam for 100 marks
STAT415,1,1,Closed book exam for 100 marks
EE212,1,1,Closed book exam for 100 marks
MATH141,2,1,Closed book exam for 100 marks
EE353,2,1,Closed book exam for 100 marks
PHYS213,1,1,Closed book exam for 100 marks
IST110,1,1,Closed book exam for 100 marks
ECON101,2,1,Closed book exam for 100 marks
EE211,2,1,Closed book exam for 100 marks
CMPSC465,1,1,Closed book exam for 100 marks
STAT319,2,1,Closed book exam for 100 marks
EE330,1,1,Closed book exam for 100 marks
CMPSC311,2,1,Closed book exam for 100 marks
EE330,2,1,Closed book exam for 100 marks
CMPSC311,1,1,Closed book exam for 100 marks
MATH231,1,1,Closed book exam for 100 marks
CMPSC132,2,1,Closed book exam for 100 marks
CMPEN331,1,1,Closed book exam for 100 marks
CMPSC221,1,1,Closed book exam for 100 marks
DS220,2,1,Closed book exam for 100 marks
CMPSC131,2,1,Closed book exam for 100 marks
CHEM112,2,1,Closed book exam for 100 marks
MATH230,2,1,Closed book exam for 100 marks
EE210,2,1,Closed book exam for 100 marks
EE210,1,1,Closed book exam for 100 marks
CMPSC431W,2,1,Closed book exam for 100 marks
EE353,1,1,Closed book exam for 100 marks
CMPSC448,2,1,Closed book exam for 100 marks
CHEM111,2,1,Closed book exam for 100 marks
CMPSC360,2,1,Closed book exam for 100 marks
DS120,1,1,Closed book exam for 100 marks
ECON102,1,1,Closed book exam for 100 marks
CMPEN362,1,1,Closed book exam for 100 marks
MATH230,1,1,Closed book exam for 100 marks
MATH141,1,1,Closed book exam for 100 marks
ECON201,1,1,Closed book exam for 100 marks
PHYS212,1,1,Closed book exam for 100 marks
CMPEN411,1,1,Closed book exam for 100 marks
MATH140,1,1,Closed book exam for 100 marks
CMPSC461,2,1,Closed book exam for 100 marks
